,org_id,year,total_donated_sum,total_donated_median,total_donated_mean,total_donated_var,total_donated_min,total_donated_max,total_pledged_sum,total_pledged_median,total_pledged_mean,total_pledged_var,total_pledged_min,total_pledged_max
39,FRESNO,2019,4630409.529999998,500.0,1454.2743498743716,10650179.491176076,0.0,80000.0,4645822.699999998,500.0,1459.1151695979895,10706904.86670899,1.0,80000.0
40,FRESNO,2020,2934977.27,550.0,1610.854703622393,11014486.744585495,0.0,55000.0,3176247.0,572.0,1743.2749725576289,13007516.527863774,10.0,55000.0
41,KSU,2003,8349271.979999999,500.0,1296.0682986650106,8600246.610456709,50.0,65600.0,8322271.8,500.0,1291.8770257683948,8447611.13173562,50.0,65600.0
42,KSU,2004,8508820.68,500.0,1375.4963918525702,10610148.898996657,50.0,76000.0,8503117.409999998,500.0,1374.574427740058,10608816.087514495,0.0,76000.0
43,KSU,2005,8358878.059999999,600.0,1438.953014288173,11763875.501023732,0.0,78291.68,8361812.34,600.0,1439.4581408159754,11764286.93083752,0.0,78291.68
44,KSU,2006,8750808.279999996,600.0,1470.4769416904714,11606851.874792252,50.0,86676.47,8747844.999999996,600.0,1469.978995126869,11607212.887536665,0.0,86676.47
45,KSU,2007,11809660.909999993,650.0,1940.463508051264,27052765.419380296,50.0,212000.0,11812710.909999993,650.0,1940.9646582320067,27053024.933610875,0.0,212000.0
46,KSU,2008,11270851.219999993,800.0,1989.558909090908,28002719.411634024,0.0,212000.0,11284121.569999993,800.0,1991.9014245366272,28006725.14934665,0.0,212000.0
47,KSU,2009,11173784.1,1000.0,2118.2529099526073,32368762.42537023,0.0,240000.0,11187432.110000003,1000.0,2120.840210426541,32352829.668196004,0.0,240000.0
48,KSU,2010,12772762.129999995,800.0,2172.2384574829925,38637439.96477318,0.0,252000.0,12791978.439999996,800.0,2175.5065374149654,38603223.68716311,0.0,252000.0
49,KSU,2011,14128703.909999993,900.0,2359.109018200032,42252411.42943437,0.0,240000.0,14140208.949999996,900.0,2361.0300467523784,42300691.99659954,-50.0,240000.0
50,KSU,2012,14333592.19,720.0,2200.4286444580907,39417069.99540789,0.0,237495.0,14349926.28,730.0,2202.9361805342332,39423530.11700058,0.0,237495.0
51,KSU,2013,18570769.620000005,540.4200000000002,2281.982012779553,52400394.87250961,0.0,178700.0,18585951.94000001,550.0,2283.847621037111,52385082.18300786,0.0,178700.0
52,KSU,2014,18881774.82,600.0,2346.4365378401885,52227478.61482269,0.0,182600.0,18915326.75,600.0,2350.6060333043365,52223563.69000697,0.0,182600.0
53,KSU,2015,19900478.050000004,600.0,2409.5505569681563,56125635.95041924,0.0,190900.0,19926179.46000001,600.0,2412.662484562297,56143934.70101291,0.0,190900.0
54,KSU,2016,19710428.58,625.0,2532.497569060774,58923053.67768889,0.0,186900.0,19759056.08,650.0,2538.7454811769244,58918560.60677359,50.0,186900.0
55,KSU,2017,19702805.78,694.3,2568.814312907431,62839142.63318741,0.0,189500.0,19726510.11,700.0,2571.90483833116,62833252.82613578,0.0,189500.0
56,KSU,2018,20145362.1,550.0,2416.6701175623803,63393752.42373241,0.0,225970.0,20158081.6,580.0,2418.195969289827,63388928.2417811,50.0,225970.0
57,KSU,2019,19861236.919999994,600.0,2544.355229310786,66116046.40712514,0.0,184300.0,19935101.539999995,600.0,2553.817773507558,66264432.96259949,50.0,184300.0
58,KSU,2020,17012400.31,600.0,2520.7290428211586,63343766.91300572,0.0,142100.0,11281187.15,50.0,1671.5346199436954,56750980.96466582,0.0,169900.0
59,KSU,2021,1382241.14,0.0,203.00207666323985,3838165.458056448,0.0,61400.0,16432379.62,700.0,2413.3322984285505,48455101.82804293,50.0,140000.0
60,MICH,2009,18042260.239999995,600.0,2370.550550518985,705168132.0671827,0.0,2099100.95,17940999.679999996,600.0,2357.246049139403,705396852.237308,0.0,2099100.95
61,MICH,2010,19721852.66,600.0,2594.9806131578944,307149173.3030664,0.0,1070409.0,19732518.66,600.0,2596.384034210526,307506299.2948603,0.0,1070409.0
62,MICH,2011,17694694.64999999,600.0,2239.8347658227835,177089626.81605348,0.0,800000.0,18165974.92999999,600.0,2299.490497468353,184067827.8973012,0.0,800000.0
63,MICH,2012,21687777.45999999,250.0,1423.082510498687,82819504.74593689,0.0,800000.0,21927192.41,250.0,1438.7921528871386,83781391.09840363,0.0,800000.0
64,MICH,2013,22900442.23000001,250.0,1646.0927422369186,135356283.8120687,0.0,800000.0,23045391.0,250.0,1656.5117165037375,135406925.82377714,0.0,800000.0
65,MICH,2014,25911019.32999999,215.25,1668.449409529941,119356181.8267242,0.0,615753.64,26153903.979999986,225.0,1684.0891165486146,120096891.0402112,0.0,615753.64
66,MICH,2015,30797195.35,250.0,2014.6003368875515,161181873.44387567,0.0,669749.5,31567906.879999995,250.0,2065.0164767449464,177957304.42004693,0.0,669749.5
67,MICH,2016,34799038.899999954,210.0,2203.4470271639307,471191723.44348806,-500.0,2000000.0,36748564.63999996,225.0,2326.889421895774,556769229.1289005,-2300.0,2000000.0
68,MICH,2017,36638985.58999998,250.0,2598.325337919295,491598936.2313786,0.0,1142000.0,37257305.10999998,250.0,2642.174676264093,500265415.5057502,0.0,1142000.0
69,MICH,2018,39180596.07,250.0,2740.285079731431,905322097.074292,-17328.23,2106821.43,39482313.64000001,250.0,2761.387161840817,905410699.0913676,0.0,2106821.43
70,MICH,2019,35966023.07,300.0,2889.9978360787463,700719174.6080532,-1550.0,2000000.0,43897693.15000001,305.0,3527.335729208518,2456689833.1341047,0.0,3452453.23
71,MICH,2020,33976790.68000001,250.0,2580.450419989368,1013728583.1935047,0.0,3106500.0,40015235.68000004,250.0,3039.054885699099,1916169116.5066602,0.0,3383333.33
