,org_id,year,paymentamount_sum,paymentamount_mean,paymentamount_median,paymentamount_min,paymentamount_max,paymentamount_var,paymentamount_size
48,FRESNO,2020,3272961.5499999993,1429.8652468326777,439.0,-2000.0,90850.0,15328507.943012824,2289
49,FRESNO,2021,0.0,0.0,0.0,0.0,0.0,0.0,3
50,FSU,2015,57908690.85,3744.4998933074685,729.8,-650.0,2400000.0,729640985.149279,15465
51,FSU,2016,80461199.04000013,4859.354936586552,1181.82,-7200.0,2092400.0,874695114.2634324,16558
52,FSU,2017,85445548.29999997,5542.653626102749,1300.0,0.0,6886885.0,6047054381.858223,15416
53,FSU,2018,61340268.66999998,4468.91072927291,1100.0,-13000.0,4000000.0,2555308426.5657763,13726
54,FSU,2019,80832211.77999955,5638.407629743271,800.0,-52000.0,10912040.0,9588755647.78985,14336
55,FSU,2020,68666562.02999997,4196.453097231557,300.0,-499043.77,2096405.1,1617129459.5357888,16363
56,FSU,2021,16303189.850000067,1866.6349725211892,371.4,-74262.95,1073614.15,231583840.25709927,8734
57,KANSAS,2015,95786086.36000016,11519.673645219502,200.0,0.0,29722884.0,115245725656.58585,8315
58,KANSAS,2016,60288569.59999997,8620.041406920212,480.0,-6850.0,1744000.0,1604369371.200219,6994
59,KANSAS,2017,84956013.86999984,13270.23022024365,600.0,-25500.0,4000000.0,6003214712.6531105,6402
60,KANSAS,2018,71840336.54000005,11872.47339943812,340.0,-76000.0,20096000.0,72681718336.73317,6051
61,KANSAS,2019,84932906.53999992,12316.256748839894,200.0,-1200.0,20096000.0,65659478513.316826,6896
62,KANSAS,2020,69079306.11999992,13747.125596019883,600.0,-43000.0,20096000.0,84780619209.10965,5025
63,KANSAS,2021,11626588.14000001,683.354187140003,0.0,-25333.33,2000000.0,328187896.3815853,17014
64,KSU,2015,30453210.03,3286.5540718756743,500.0,-100.0,951750.0,497932529.45589954,9266
65,KSU,2016,29485770.870000016,3404.4303048146885,500.0,-150.0,2006264.98,791541706.2653549,8661
66,KSU,2017,35425909.64000001,4034.8416446469264,500.0,-1000.0,1802250.0,1402050326.0621936,8780
67,KSU,2018,24659517.860000014,2773.2251304543433,351.5,-2600.0,802000.0,350713555.3798568,8892
68,KSU,2019,56247295.24000001,5943.917916094263,300.0,-450.0,6754024.66,18728575531.14037,9463
69,KSU,2020,21525086.1,2389.0217647058826,150.0,-11900.0,3113200.0,1348139918.0190432,9010
70,LSU,2015,70159295.90999998,1641.3834903144295,0.0,-9950.0,20117380.0,9652112158.624058,42744
71,LSU,2016,48960361.20999999,1192.2940095947788,0.0,-1850.0,1091850.94,117303951.2080104,41064
72,LSU,2017,54027160.07000002,1266.132972510605,0.0,-2575.25,589826.72,108107276.01863416,42671
73,LSU,2018,36390003.56000001,833.8298785573533,0.0,-16030.0,642947.8500000002,68914024.47868802,43642
74,LSU,2019,46685928.36000001,1062.7587325001712,0.0,-6000.0,634291.91,86743423.41238284,43929
75,LSU,2020,41888181.35000009,1176.535161362809,0.0,-103620.0,1017148.75,128116993.20937005,35603
76,LSU,2021,23086752.75000001,1020.1384273783752,0.0,-580000.0,329231.76,70506177.06767857,22631
77,MICH,2015,212364098.59,9625.786356178045,600.0,-155169.03,17017820.340000004,22775201802.966667,22062
78,MICH,2016,256777310.56999996,11080.40522007422,600.0,-178398.42000000004,12914153.91,25328094085.2751,23174
79,MICH,2017,289473823.77,13042.298885785083,720.0,-500000.0,26011539.99000001,47534401761.78301,22195
80,MICH,2018,265767055.39000005,12020.219601537769,615.0,-96036.57,17874075.0,43650282928.761696,22110
81,MICH,2019,322109067.54999983,13951.362939622308,660.0,-13800.0,25422690.0,63558781766.21101,23088
82,MICH,2020,254708027.08999968,10760.795398817054,300.0,-79000.0,34958526.48,86137580935.40411,23670
83,MICH,2021,26265681.599999994,1448.7414009928293,75.0,-31278.0,1250000.0,372105816.115784,18130
84,MSSTATE,2015,25374564.26999995,3208.720823216989,600.0,0.0,521255.44,207615872.4872953,7908
85,MSSTATE,2016,22583453.48999994,2834.2687612951727,540.0,-3250.0,522461.73,188222965.9343555,7968
86,MSSTATE,2017,30067962.599999964,3167.3825555672565,350.0,-3100.0,626719.01,287040047.49666446,9493
87,MSSTATE,2018,23080171.42999997,2127.793069973262,220.0,-14169.68,512515.38,168470957.23411497,10847
88,MSSTATE,2019,26989725.95999997,2753.4917322995275,265.0,-5888.0,1105700.0,341064581.00890696,9802
89,MSSTATE,2020,19776117.479999825,1880.0377868618525,100.0,-9000.0,1976875.33,489848999.164068,10519
90,MSSTATE,2021,7932363.150000012,1066.4645267545054,0.0,-20800.0,1500000.0,389166877.14565533,7438
91,NCSU,2015,29354661.560000103,1530.32330101137,177.59,0.0,3222191.4399999995,635630524.2062978,19182
92,NCSU,2016,34775812.55000006,1823.3006108110967,172.84,-1000.0,7145653.830000003,2765549999.5687327,19073
93,NCSU,2017,43671787.91,2427.5590833796555,226.44500000000005,0.0,11060061.25,6970177765.389711,17990
94,NCSU,2018,27556625.88999995,1709.4681073200964,250.0,-32760.0,1586630.0,288893121.20692384,16120
95,NCSU,2019,32011975.51000001,1529.47804634496,120.0,-1540.0,718055.0,165777715.7569402,20930
96,NCSU,2020,38347374.76000003,2970.362103795509,432.0,-6480.0,3066222.0,1029103236.9635413,12910
97,NCSU,2021,19928764.059999987,2427.0812398002663,480.0,-810.0,1950000.0,1045879685.621452,8211
98,NEBRASKA,2015,40148253.10000002,2130.6720320543445,500.0,-41000.0,2507174.19,467515258.1814509,18843
99,NEBRASKA,2016,39780932.94999999,2112.4114778037383,500.0,-41000.0,448192.0,74742319.26985945,18832
100,NEBRASKA,2017,52354770.61,2800.6189477907346,600.0,-32000.0,1127413.18,222861807.76746383,18694
101,NEBRASKA,2018,25542446.160000004,1376.5802295877124,350.0,-211616.40000000005,666492.0,60766045.38195086,18555
102,NEBRASKA,2019,54671732.39999995,2885.356364787838,500.0,-11666.67,5183600.0,1824804608.2699454,18948
103,NEBRASKA,2020,54098827.02000006,2847.7563309996344,500.0,-100000.0,1522390.0,470627056.9206709,18997
104,NEBRASKA,2021,10799221.31,1666.5464984567902,400.0,-12000.0,1000000.0,208157564.12128943,6480
105,OKLAHOMA,2015,57637850.78000011,4509.298292911916,1000.0,-6000.0,933978.0,408004288.0919186,12782
106,OKLAHOMA,2016,87136249.12000006,6346.875163522475,1000.0,-8000.0,6378168.0,3452574184.836203,13729
107,OKLAHOMA,2017,117168746.46000004,8500.961072335489,1100.0,-97400.0,1600000.0,1513046938.755476,13783
108,OKLAHOMA,2018,72059007.08000001,5417.563121569808,600.0,-424824.28,2265556.0,1386615615.8550966,13301
109,OKLAHOMA,2019,97321577.60999984,7474.201490668907,1200.0,-132518.0,1605682.0,927953081.1834778,13021
110,OKLAHOMA,2020,70420470.6499999,5645.832650525126,600.0,-79000.0,2022377.52,1142875247.0099425,12473
111,OKLAHOMA,2021,19126212.2,2767.5028505281434,500.0,-6000.0,416670.0,123968471.59569684,6911
112,TAM,2015,77028513.17999998,4163.7034151351345,200.0,-120000.0,2008675.0,1609353058.6479213,18500
113,TAM,2016,77870668.71000011,3867.8124824914375,200.0,-50000.0,3542216.5,1801947016.6335754,20133
114,TAM,2017,103539007.81000002,5003.8182780784855,200.0,-23450.0,7122066.8,4709127666.78585,20692
115,TAM,2018,55595905.33000018,2548.8678401797256,150.0,-12158.0,1977760.44,481536054.12827206,21812
116,TAM,2019,64861771.24000002,2140.2993314634555,38.4,-689597.4999999999,2437601.04,709918216.4014263,30305
117,TAM,2020,57050698.05000005,4402.399726059113,306.28,-42000.0,1561550.0,729807822.2661673,12959
118,TAM,2021,25729459.62000003,2766.0137196301903,400.0,-46922.28,869440.0,163453089.12875617,9302
119,TTU,2015,22189363.220000006,2579.258772521214,200.0,-3100.0,3005020.0,1545550800.6780446,8603
120,TTU,2016,25675396.130000006,2700.39925641565,144.5,-8000.0,4012000.0,3034897764.070373,9508
121,TTU,2017,32871181.480000027,3310.957038678488,350.0,-8200.0,3000000.0,2128921539.7912462,9928
122,TTU,2018,33115236.51,3854.1941934357537,490.0,-8052.0,3000000.0,2630270944.278902,8592
123,TTU,2019,42839825.3,4706.638683805757,400.0,-25.0,6385845.0,7118208479.969122,9102
124,TTU,2020,28476558.74999998,1605.6700733013806,0.0,-1850.0,2597800.0,1280960632.5184085,17735
125,TTU,2021,3428767.5500000007,4384.613235294118,150.0,-3164.0,1000000.0,1653156147.4598331,782
